id,name,biz_url,street,city,postal_code,state_iso,country_iso,category_id,sub_category_id,description,payment_methods,franchise,updated,plan_id,hide_address,billing_period,is_chain_business,archived_at
138077,Steam Powered Marketing,http://steampoweredmarketing.com/,"1001 Texas Avenue, Suite 1400 Suite 187",Houston,77002,TX,US,13,544,We specialize in helping businesses dramatically scale their marketing reach by translating your proven offline marketing efforts into effective digital campaigns. Our goal is to help you double your revenue within 12 months!,"{Visa,""American Express"",""Master Card""}",f,f,23,f,1,f,26/11/19
136239,Academy Mortgage - Turlock,https://academymortgage.com/branch/turlock,801 East Main Street,Turlock,95380,CA,US,7,481,"Founded in 1988, Academy Mortgage is one of the nation's largest and most respected independent mortgage lenders. Academy's mission is to be 1st CHOICE in delivering the dream of sustainable home-ownership by inspiring hope and building prosperity in the lives of our Employees, Builders, Realtors, and the communities we serve.",{},f,f,23,f,1,f,27/04/20
136410,Academy Mortgage South Valley - Draper,https://academymortgage.com/branch/southvalley,584 East 12300 South Suite 7,Draper,84020,UT,US,7,481,"Founded in 1988, Academy Mortgage is one of the nation's largest and most respected independent mortgage lenders. Academy's mission is to be 1st CHOICE in delivering the dream of sustainable home-ownership by inspiring hope and building prosperity in the lives of our Employees, Builders, Realtors, and the communities we serve.",{},f,f,23,f,1,f,27/04/20
143625,Jay's Auto Repair & Tires,http://jaysautorepairandtires.1.uslocaldirectory.com/,3505 Isabella St,Midland,48640,MI,US,3,83,"Welcome to Jay's Auto Repair & Tires. At Jay's Auto Repair & Tires, we utilize the latest tools and the highest advanced technical training to deliver fast, expert, skilled repair solutions for all kinds of automobiles.",{Cash},f,f,23,f,1,f,27/04/20
145072,"Wilkinson, Carmody & Gilliam",http://www.wilkinsoncarmodyandgilliam.com,400 Travis St #1700,Shreveport,71101,LA,US,13,346,"Wilkinson, Carmody & Gilliam is the oldest law firm in the region having been established in 1895. The firm has maintained a tradition of excellence in the practice of law and in service to its clients for 120 years. Our attorneys engage in a broad corporate and civil practice, which includes transportation and railroad law, corporate and commercial litigation, utility and regulatory law, employment law, medical malpractice defense, oil, gas and property law, and insurance defense. The lawyers and staff are dedicated to providing the highest quality legal services for all clients having represented a number of its clients for over fifty years.",{},f,f,23,f,1,f,27/04/20
159760,Javan Anti-Aging and Wellness Institute,http://www.javanwellness.com,1626 U Street Northwest,Washington,20009,DC,US,4,102,"Javan Anti Aging and Wellness Institute is a state of the art facility offering cutting-edge medical treatments and top-grade products to restore youth and vitality. Our licensed medical professionals provide service to men and women in Skin Rejuvenation, Body Contouring via Coolsculpting, Hormone Replacement Therapy (HRT), Weight Loss, Botox and Dermal Filler injections, and more.",{},f,f,23,f,1,f,22/10/19
161714,Flaxmore Lifecare,https://heritagelifecare.co.nz/find-a-location/nelson/flaxmore-lifecare,"8 Clifford Ave, Bishopdale",Nelson,7011,MBH,NZ,9,1873,"When it comes to everyday life, Flaxmore makes it easy with respite and personalised dementia care. The well-appointed rooms all look out onto sheltered courtyards or landscaped gardens and come complete with a 24-hour call bell system, WiFi and ensuites. Light, bright and welcoming, Flaxmore is set amongst the leafy suburb of Bishopdale, just a hop, skip and jump from the Nelson city centre. We offer everything from hairdressing to speech therapy, physiotherapy, church services and podiatry. We have a range of recreational activities including board games, gardening, crafts, cooking and indoor bowls. Our facility van is also always on hand for outings.",{Cash},f,f,23,f,1,f,19/11/19
114826,BJ Riley Pest Control,http://bjrileypestcontrol.com/,185 Wynshire Ln.,Red Lion,17356,PA,US,11,313,"BJ Riley Pest Control uses only environmentally friendly insecticides applied safely in accordance with manufacturer’s and EPA guidelines. Our application methods are safe for you and your property. We are a member of Quality Pro, which is known as “the mark of excellence in pest control.” The Quality Pro designation is only achieved by ensuring that all employees voluntarily ascribe to a set of standards far above what is required by state and Federal regulations.","{Visa,""Master Card"",Cash}",f,f,23,t,1,f,27/02/20
164832,A Magic Touch Mobile Massage,https://amagictouchmobilemassage.com/,5398 W. Braewood Ave.,Las Vegas,89120,NV,US,4,109,"The highly experienced staff of A Magic Touch Mobile Massage are an integral part of us being the Southwest’s premier mobile massage therapy and treatment services professionals. We schedule massage appointments 7 days a week from approximately 8am-9pm. Our massage therapists are skilled in the following therapeutic modalities: Swedish, deep tissue massage, couple’s, reflexology, trigger point, pregnancy, therapeutic, chair massage, and special event. All of our outcall staff are licensed, insured, and highly experienced in pampering clients to the fullest. We offer massage, chair massage, corporate chair massage, prenatal massage, and zero gravity massage. Please visit our Massage Services page to learn more about all of our relaxing, rehabilitating, fully personalized and pampered offerings.","{Visa,""American Express"",""Master Card""}",f,f,23,t,1,f,26/11/19
163362,A Magic touch mobile massage,https://amagictouchmobilemassage.com/,8210 E Chaparral Rd,Scottsdale,85260,AZ,US,4,109,"Your daily routine is hectic and even stressful at times, but where and how do you combat the fatigue and stress once you take it on? Well, look no further than A Magic Touch Mobile Massage to help re-inflate your mental and physical wellbeing—by helping to deflate your tension and stress levels, while pampering your body from top to bottom in the lap of physiological luxury. We offer massage, chair massage, corporate chair massage, prenatal massage, facials, nails, chef services, and zero gravity massage. Our licensed and insured massage therapists, nail technicians and estheticians will professionally, courteously and proficiently fulfill your relaxation and pampering needs at home, your office, or even in the comfort of your hotel suite. Since 2001, tens of thousands of satisfied customers have come to experience the Magic Touch Mobile Massage difference for themselves, and we welcome you to join them.","{Visa,""Master Card"",""American Express"",Cash,Cheque}",f,f,23,t,1,f,26/11/19
